strong	gloss
H5557	fordreje, forvanske, ødelægge
H5564	understøtte, forsyne med livsfornødenheder
H5572	tjørnebusk
H5582	styrke sig, understøtte
H5591	storm
H5595	fjerne, feje bort
H5596	forbinde med, knytte til
H5600	skib
H5608	tælle, skrive, opregne
H5612	bogrulle
H5619	stene
H5640	stoppe til, lukke for, hemmeligholde
H5641	skjule sig
H5645	sky, skydække
H5647	tjene
H5650	slave, tjener
H5656	arbejde, tjeneste
H5657	slaver, tjenere
H5668	på grund af, med henblik på, for at
H5674	gå forbi, overtræde
H5676	på den anden side, modsat
H5678	stolthed, hovmod, vrede
H5680	hebræer
H5688	reb, snor
H5697	kvie
H5699	vogn, stridsvogn, kærre
H5704	til, helt til, indtil, imens
H5707	vidne, vidneforklaring
H5713	menighed, forsamling
H5715	bestemmelser (de ti ord), love, skudsmål (om person)
H5731	Eden
H5739	flok (får og geder)
H5747	Og
H5749	omgive
H5750	stadig, igen
H5763	die
H5769	gammel tid, fjern tid, lang tid, for evigt, evighed
H5771	overtrædelse, skyld, straf
H5774	flyve
H5775	fugle, flyvende dyr, insekter
H5780	Uz
H5782	vække, ophidse
H5785	hud, læder
H5786	gøre blind
H5787	blind
H5795	ged, gedehår
H5797	beskyttelse, tilflugt
H5799	Azazel
H5800	forlade, efterlade
H5810	være stærk, vinde over
H5826	hjælpe
H5828	hjælper
H5833	hjælp, hjælper
H5844	pakke ind i, svøbe, dække
H5849	krone
H5857	Aj
H5861	rovfugl
H5869	øje, kilde
H5883	Rogel-kilden
H5892	by
H5903	nøgen
H5921	på, over; imod
H5927	gå op
H5929	blad, blade
H5930	brændoffer
H5939	mørke
H5944	tagkammer, festsal, privat rum på øverste etage
H5945	øverst, Den Højeste
H5956	skjule
H5959	ung pige, jomfru
H5968	tildække sig, besvime
H5970	juble over
H5971	folk, slægtskab, slægtning
H5973	med, sammen med, ligesom
H5975	stå, stå op; stoppe
H5978	med, selskab
H5983	Ammon
H5999	nød, bekymring, behov
H6021	Amasa
H6030	svare
H6031	ydmyge sig selv, blive ydmyget
H6035	fattig, ydmyg, svag
H6039	trængsel?
H6040	fattigdom, elende, lidelse
H6041	fattig, undertrykt, ydmyg
H6051	skyer, tykt skydække
H6064	lægge bøde på
H6074	løvværk, kraftig vækst på grenene
H6083	støv, tør jord, affald
H6086	træ, skov
H6087	finde fejl ved, gøre ondt
H6089	byrdefuldt arbejde, smerte
H6093	smerte
H6098	ulydighed, modstand
H6099	mægtig, talrig, om en stor menneskemængde
H6106	knogle, skelet, ben, væsen
H6113	holde tilbage, fængsle
H6115	undertrykkelse, nød, forvaring (?)
H6119	hæl
H6121	bakket land
H6123	binde
H6153	aften
H6160	ørken, slette
H6168	afdække, gøre nøgen, kaste bort
H6174	nøgen
H6175	listig, snu
H6185	barnløs
H6186	stille op, ordne
H6189	uomskåret
H6190	forhud
H6195	trick, smart idé
H6205	tykt mørke
H6210	seng
H6212	grønsager, grønne planter
H6213	gøre, lave
H6215	Esau
H6223	rig
H6226	rygende
H6227	røg
H6239	rigdom
H6240	ti
H6242	tyve (num), tyvende
H6244	blive svag
H6256	tid, sæson
H6258	nu
H6275	gå videre, blive gammel
H6279	bønfalde, bede
H6286	vise sin herlighed
H6293	møde, angribe, tigge
H6297	lig, kadaver
H6298	møde
H6299	løskøbe
H6306	løsesum
H6310	mund, åbning, del (sub.)
H6311	her, herhen
H6327	sprede sig, flyde over
H6376	Pishon
H6389	kanal, vandstrømme
H6414	dommer
H6419	bede
H6425	vægtskål
H6430	filistæisk
H6432	pleter
H6435	for at ikke
H6437	dreje af, vende omkring
H6438	hjørne, hjørnesten, hjørnetårn
H6440	ansigt, overflade, foran
H6441	indefor
H6459	gudefigur, afgudsbillede
H6467	handling, arbejde
H6468	arbejde, løn, belønning
H6471	gang, fod, trin, ambolt
H6475	åbne; sætte fri
H6476	juble
H6482	sår
H6485	besøge, tage sig af, mønstre, udpege
H6491	åbne
H6492	Peka
H6493	klart seende
H6499	tyrekalv
H6501	vildæsel
H6504	dele sig
H6506	hunæsel
H6509	bære frugt
H6522	perizzitter
H6529	frugt; afkom, efterkommer
H6532	forhæng
H6544	løse, frigive, forsømme
H6547	Farao
H6555	lave brud, bryde ud
H6561	rive sig løs
H6565	bryde ud, barse ud
H6571	hestespand, vognkæmper, rytter
H6578	Eufrat
H6584	tage af, angribe
H6588	overtrædelse, oprør
H6597	pludselig
H6601	være uerfaren
H6605	åbne
H6607	indgang, åbning, dør, port
H6629	småkvæg
H6635	hærskare, hoveritjeneste
H6658	ligge på lur
H6659	Sadok
H6662	retfærdig, lovlydig
H6663	være retskaffen, have ret
H6664	retfærdighed; ret, det rette
H6666	retfærdighed
H6667	Sidkija
H6670	få til at glinse
H6680	befale
H6723	tørt land
H6726	Zion
H6731	blomstre
H6738	skygge
H6743	lykkes
H6754	billede
H6763	side, sidebygning, ribben?
H6772	tørst
H6776	åg, tønder land
H6779	skyde op, gro frem
H6793	får og geder
H6801	fæstne, vikle om, binde
H6817	råbe, skrige
H6818	skrig, råb om hjælp
H6828	nord, nordenvind
H6833	fugl
H6854	frø
H6855	Sippora
H6862	fjende, undertrykker, modstander
H6864	flintekniv, flint
H6869	nød
H6870	Seruja
H6879	få udslet
H6884	smelte, lutre (rense, raffinere)
H6887	være fjendtlig imod, binde op
H6901	acceptere, tage imod som en gave
H6908	samle
H6912	begrave
H6913	grav
H6915	knæle, bøje sig ned for
H6918	hellig, afsondret
H6921	østside, østenvind
H6924	foran, øst, ældre tider, gamle dage
H6926	foran
H6935	kadmonitter
H6936	isse
H6942	være hellig (qa), gøre hellig (pi)
H6944	hellig (ting)
H6951	forsmamling, menighed
H6960	blive samlet
H6963	røst, lyd, torden
H6965	rejse sig, stå op
H6973	føle væmmelse, være rædselsslagen
H6975	tjørnebusk
H6994	lille, ung
H6996	lille, ung
H6999	ofre, lade gå op i røg
H7017	kenit
H7021	olieplante, lat. ricinus communis, agurk (?)
H7043	erklære for forbandet
H7045	forbandelse
H7067	lidenskabelig
H7069	skabe, erhverve
H7074	kenizzitter
H7075	ejendom
H7077	bygge rede
H7092	lukke, trække sammen
H7097	kant, ende, grænse
H7098	kant, ende, grænse
