lex,default
γλωσσόκομον,錢箱
γλῶσσα,舌頭
γνήσιος,真誠;真正
γναφεύς,漂布的人;漂洗工
γνησίως,真誠;真正
γνωρίζω,知道;曉得;了解;熟悉
γνωστός,所知道的;信息
γνόφος,黑暗;《和》譯作「密雲」
γνώμη,意見;目標;意圖
γνώστης,知道......的人;專家;熟悉
γνῶσις,知道;曉得;了解;認識;有......的知識;熟悉
γογγυσμός,埋怨;抱怨;怨言
γογγυστής,愛發牢騷的人;愛抱怨的人
γογγύζω,埋怨;抱怨;怨言
γονεύς,父母
γονυπετέω,跪下
γράμμα,字母
γράφω,書寫
γραμματεύς,精通摩西律法的人;摩西律法專家;經學教師;律法教師
γραπτός,寫下的
γραφή,段落;文件的一部分;聖經的一部分
γραώδης,像年老的女人般說話;像年老的女人般做事
γρηγορέω,保持清醒;保持醒著的;警醒
γυμνάζω,约束自己;嚴於律己
γυμνασία,鍛煉身體;操練身體
γυμνιτεύω,穿著破舊的衣服;衣不蔽體;衣衫襤褸
γυμνός,赤身露體;衣不蔽體
γυμνότης,赤身露體;衣不蔽體
γυνή,女人
γυναικάριον,愚蠢的女人;輕浮的女人
γυναικεῖος,女人;女性;女人的
γωνία,角;角落
γόης,騙子;假冒為善的人;偽君子
γόμος,重擔;擔子;貨物(如船上的貨物)
γόνυ,膝蓋
γῆ,大地;世界
γῆρας,年老;老年
δάκνω,傷害
δάκρυον,眼淚
δάκτυλος,手指;指頭
δάμαλις,"小母牛,母牛犢"
δάνειον,貸款;債務;債
δέ,和(中文通常不必譯出來)
δέησις,祈求;請求;禱告
δέκα,十
δένδρον,樹;灌木
δέομαι,懇求;乞求
δέος,膽怯;膽小;怯懦;害怕
δέρμα,皮;獸皮;皮革
δέρω,責打;鞭打;拷打
δέσμη,捆
δέσμιος,囚犯;囚徒;被囚的人;坐牢的人
δέχομαι,接受;領受;收到;得到
δέω,捆綁;綁在一起;捆起來;捆扎;包裹
δή,"那麼;的確;(或通常不翻譯,但可能反映在語序中)"
δήπου,當然;的確;那麼
δίδραχμον,聖殿稅;丁稅
δίδωμι,給;給予
δίκαιος,公義的;公正的
δίκη,懲罰;使受苦;受刑罰
δίκτυον,網;漁網
δίλογος,一口兩舌的;表裏不一的;假冒為善的
δίς,兩次;兩遍;一再
δίστομος,雙刃的;兩刃的
δίψος,口渴;渴
δίψυχος,心懷二意;懷疑;抱懷疑態度的人
δαίμων,惡魔;邪靈
δαιμονίζομαι,被鬼附
δαιμονιώδης,屬惡魔的;邪惡的
δαιμόνιον,惡魔;邪靈
δακρύω,哭;哭泣;流淚
δακτύλιος,戒指
δαμάζω,控制;制伏;制止
δαπάνη,成本;費用;花費
