lex,default
κωφός,mudo; sordo
κόπος,"peligro, afán, trabajo"
κόσμος,"mundo, universo"
κύριος,"señor, Señor, maestro"
κώμη,"aldea, pueblo"
κἀγώ,yo también
κἀκεῖ,"y ahí, y allá"
κἀκεῖθεν,y de allí
κἀκεῖνος,"y él, ella, ese, y eso"
κἄν,"y si, incluso si"
λέγω,"decir, hablar"
λίαν,"muy, mucho, extremadamente o sumamente"
λίθος,piedra
λίμνη,lago
λαλέω,"hablar, decir"
λαμβάνω,"recibir, obtener"
λατρεύω,"servir, adorar"
λαός,"gente, multitud"
λευκός,"blanco, brillante"
λιμός,"hambruna, hambre"
λογίζομαι,"contar, tomar en cuenta, decidir"
λοιπός,"atrás, dejado atrás, el resto"
λυπέω,"dolor, sufrir, vejar o afligir"
λυχνία,"candelero, candelabro"
λόγος,"palabra, discurso, declaración divina, analogía"
λύπη,"tristeza, aflicción"
λύχνος,lámpara
λύω,"suelto, dejar suelto, destruir"
λῃστής,"ladrón, asaltante, bandido"
μάλιστα,"especialmente, sobre todo"
μάρτυς,testigo
μάχαιρα,espada
μέγας,grande
μέλει,es una preocupación; concierne
μέλλω,estar a punto de
μέλος,"extremidad, miembro"
μέν,"verdaderamente, ciertamente"
μένω,"quedar(se), permanecer, estar"
μέρος,"parte, porción"
μέσος,"medio, en medio de"
μέτρον,"medida, vara de medir"
μέχρι,hasta (gen)
μή,no
μήν (II),mes
μήτε,"ni, ninguno, ni siquiera"
μήτηρ,madre
μήτι,"si no, a no ser que"
μαθητής,"aprendiz, discípulo, estudiante"
μακάριος,"bienaventurado, dichoso, feliz, bendito"
μακροθυμέω,"sufrir largamente, tener paciencia, ser tolerante"
μακροθυμία,paciencia
μακρόθεν,desde lejos
μανθάνω,aprender
μαρτυρέω,"dar testimonio, testificar"
μαρτυρία,"testigo, evidencia, testimonio"
μαρτύριον,"testigo, evidencia, testimonio"
μερίζω,"dividir, partir, compartir"
μεριμνάω,"estar ansioso, distraído"
μετά,con (gen); después de (acus)
μετάνοια,"arrepentimiento, cambio de mente"
μεταβαίνω,"partir, salir, ir"
μετανοέω,"arrepentir, cambiar mi mente"
μετρέω,"medir, estimar"
μηδέ,"y no, ni siquiera"
μηδείς,"nadie, nada, ningún"
μηκέτι,"no más, ya no"
μικρός,"pequeño, poco, de poca importancia"
μιμνῄσκω,"recordar, traer a memoria"
μισέω,"odiar, detestar"
μισθός,"paga, salario; recompensa"
μνημεῖον,"tumba, sepulcro"
μνημονεύω,"recordar, hacer mención a"
μνῆμα,"tumba, monumento"
μοιχεύω,cometer adulterio
μυστήριον,"misterio, secreto"
μωρός,"tonto, necio"
μόνος,"único, solo"
μύρον,"aceite de unción, ungüento"
μᾶλλον,"más, mucho más; cuánto más, con mayor razón"
νέος,nuevo; joven; fresco
νήπιος,"infante, niño, niña, iliterato"
νίπτω,lavar
ναί,"sí, ciertamente, aun así"
ναός,"templo, altar"
νεανίσκος,joven
νεκρός,"muerto, un cadáver"
νεφέλη,nube
νηστεύω,ayunar
νικάω,"vencer, conquistar"
νοέω,"entender, considerar"
νομίζω,"pensar, suponer, creer"
νοῦς,"mente, facultad de razonamiento"
νυμφίος,novio
νυνί,ahora
νόμος,"ley, ley mosaico"
νόσος,enfermedad
νύξ,noche
νῦν,"ahora, ya, en el presente"
ξένος,"nuevo, extranjero"
ξενίζω,"entretener a un extraño, hospedar"
ξηραίνω,"secar, madurar"
ξύλον,"palo, cruz, madera"
οἰκία,casa; hogar
οἰκοδεσπότης,dueño o jefe de la casa
οἰκοδομέω,"construir, edificar"
οἰκοδομή,"construcción, edificio, edificación"
οἰκοδόμος,"construir, edificar"
οἰκονόμος,"mayordomo, administrador"
οἰκουμένη,mundo; la tierra habitada
οἶδα,"saber, conocer, recordar"
οἶκος,"casa, hogar"
οἶνος,vino
οἷος,"de qué tipo, como"
οὐ,no
οὐαί,Ay!
οὐδέ,ni; y no; ni siquiera
οὐδέποτε,nunca
οὐδείς,"nadie, ninguno, nada"
οὐκέτι,ya no; no más
οὐρανός,cielo
οὐχί,"de ninguna manera, para nada"
οὔπω,todavía no
οὔτε,"no, ni"
οὕτω,"así, de esta manera"
οὖν,"así que, de modo que, entonces"
οὖς,"oído, oreja"
οὗ,"dónde, adónde, cuando"
οὗτος,"este, él, ella, eso"
πάθημα,sufrimiento
πάλιν,"otra vez, de nuevo"
πάντοτε,"siempre, en todo tiempo"
πάρειμι,"estar presente, estar cerca"
πάσχα,"la fiesta de la Pascua, el cordero de la Pascua"
πάσχω,"sufrir, soportar"
πέμπω,enviar
πέντε,cinco
πέραν,más allá de; al otro lado de (gen)
πέτρα,"roca, piedra"
πίμπλημι,llenar
πίνω,"tomar, beber"
πίπτω,caer; caer debajo de
πίστις,"fe, creencia, confianza"
παιδίον,"niño pequeño, infante"
παιδίσκη,"sirvienta, esclava"
παιδεύω,"enseñar, educar, capacitar, corregir"
παλαιός,"viejo, antiguo; añejo"
παντοκράτωρ,el Todopoderoso
παρά,"de, desde, en presencia de"
παράγω,"pasar, partir, desvanecerse"
παράδοσις,"instrucción, tradición"
παράκλησις,"exhortación, consuelo, ayuda"
παράπτωμα,"ofensa, pecado"
παρέρχομαι,"pasar, pasar delante"
παρέχω,"ofrecer, proveer"
παρίστημι,"presentar, mostrar; estar presente (med)"
παραβολή,"parábola, comparación"
παραγίνομαι,"aparecer, venir, llegar a, presentarse"
παραγγέλλω,"notificar, ordenar, cargar"
παραδίδωμι,"entregar, traicionar"
παραιτέομαι,"hacer una excusa, rechazar"
παρακαλέω,rogar; alentar; consolar; invitar
παραλαμβάνω,"tomar, recibir"
παραλυτικός,afligido con parálisis
παρατίθημι,"poner delante; dar, repartir"
παραχρῆμα,inmediatamente
παρεμβάλλω,"campamento, cuarteles, ejército en armadura"
παρεμβολή,"campamento, cuarteles, ejército en armadura"
παρθένος,virgen
παρουσία,"presencia, llegada, venida, advenimiento"
παρρησία,"libertad, confianza"
πατάσσω,"golpear, herir"
πατήρ,padre
παύω,causar a cesar
παῖς,niño o niña
πείθω,"persuadir, instar"
πεινάω,"tener hambre, en necesidad"
πειράζω,"probar, tentar"
πειρασμός,"prueba, tentación"
πενθέω,"llorar, lamentar"
περί,"acerca de (gen); concerniente; alrededor de, cerca de (acus)"
περαιτέρω,más allá de; al otro lado de (gen)
περιβάλλω,"vestir, ponerse"
περιπατέω,"caminar, andar, pasearse, conducir mi vida"
περισσεύω,"exceder, me sobra"
περισσοῦ,"abundante, tanto más, vehemente, ventaja"
περισσός,"abundante, tanto más, vehemente, ventaja"
περισσῶς,"tanto más, al extremo"
περιστερά,paloma
περιτέμνω,circuncidar
περιτομή,circuncisión
πετεινός,"pájaro, ave"
πηγή,"fuente, manantial"
πιάζω,agarrar
πιστεύω,"creer, tener fe en"
πιστός,digno de confianza; creyente
πλάνη,"error, engaño, falacia"
πλήν,"pero, sin embargo, no obstante; excepto, fuera de (gen)"
πλήρης,lleno
πλήρωμα,"plenitud, cumplimiento, finalización"
πλανάω,"descarriar, engañar"
πλεονεξία,"codicia, avaricia"
πληγή,"golpe, azote, herida"
πληθύνω,"aumentar, multiplicar"
πληρόω,cumplir; llenar
πλησίον,"prójimo, compañero; cerca de (gen)"
πλουτέω,hacerse rico
πλούσιος,rico
πλοῖον,"barco, buque"
πλοῦτος,"riqueza, fortuna"
πλῆθος,multitud
πνευματικός,espiritual
πνεῦμα,"viento, aliento, espíritu"
ποιέω,hacer
ποικίλος,"varios, de diferentes colores"
ποιμήν,pastor
ποιμαίνω,"pastorear, cuidar"
πολλάκις,"a menudo, frecuentemente"
πολύς,mucho; muchas cosas (pl)
πονηρός,"malvado, malo"
πορεύομαι,"viajar, ir"
πορνεία,"fornicación, idolatría"
ποτέ,"una vez, en cierto momento"
ποτήριον,"copa, vaso"
ποτίζω,"causar a beber, dar de beber"
ποταμός,"río, torrente"
πούς,pie
ποῖος,de qué tipo
ποῦ,¿dónde? ¿a dónde?
πράσσω,"hacer, practicar"
πρίν,"anteriormente, antes"
πραΰτης,"suavidad, cortesía"
πραϋπαθία,"suavidad, cortesía"
πρεσβύτερος,anciano
προάγω,preceder; ir delante
προβάτιον,oveja
προλέγω,decir o advertir de antemano
προπάτωρ,padre
προσέρχομαι,acercarse; consentir
προσέχω,"prestar atención a, dedicarme a"
προσδέχομαι,esperar; recibir
προσδοκάω,esperar; aguardar
προσευχή,"oración, lugar de oración"
προσεύχομαι,orar
προσκαλέω,convocar
προσκαρτερέω,persistir
προσκυνέω,adorar
προσλαμβάνω,"acoger, aceptar, recibir"
προστίθημι,"poner, agregar, hacer de nuevo"
προσφέρω,"traer a, ofrecer"
προφήτης,"profeta, poeta"
προφητεία,profecía
προφητεύω,profetizar
πρωΐ,"de madrugada, en la mañana"
πρό,"antes de, delante de (gen)"
πρόβατον,oveja
πρόθεσις,"pan de la proposición; propósito, plan, voluntad"
πρός,"a, hacia, con"
πρόσωπον,"cara, rostro, semblante"
πρότερος,"anteriormente, antes"
πρώτως,primero; anterior
πρᾶγμα,"asunto, cosa"
πρῶτος,primero; anterior
πτωχός,"pobre, indigente"
πυλών,entrada; vestíbulo
πυνθάνομαι,"preguntar, averiguar"
πωλέω,vender
πόθεν,por lo cual
πόλεμος,"guerra, batalla, contienda"
πόλις,ciudad
πόρνη,prostituta
πόρνος,fornicador; persona inmoral
πόσος,"cuánto, qué tan grande, cuántos"
πότε,"cuando, a qué hora"
πύλη,puerta
πᾶς,"todo, cada"
πῦρ,"fuego, pruebas"
πῶλος,"potro, asno joven"
πῶς,"cómo, de qué manera"
σάββατον,"Sábado, semana"
σάλπιγξ,trompeta
σάρξ,carne
σέβω,"adorar, rendir culto"
σήμερον,"hoy, ahora"
σαλεύω,"sacudir, agitar"
σαλπίζω,tocar la trompeta
σεαυτοῦ,de ti mismo
σεισμός,"terremoto, tormenta"
σημεῖον,"señal, milagro, indicación"
σιγάω,callar
σιτίον,trigo
σιωπάω,"guardar silencio, callar"
σκάνδαλον,"trampa, piedra de tropiezo"
σκανδαλίζω,hacer tropezar; hacer pecar
σκεῦος,"vaso, objecto, instrumento"
σκηνή,"tabernáculo, carpa"
σκοτία,oscuridad
σκότος,oscuridad
σοφία,sabiduría
σοφός,sabio
σπέρμα,semilla; descendencia
σπείρω,sembrar
σπλάγχνον,"entrañas, compasión, misericordia"
σπλαγχνίζομαι,"tener misericordia, tener compasión"
σπουδάζω,"esmerarse, procurar con diligencia"
σπουδή,diligencia; rapidez
στέφανος,corona
στήκω,"estar, quedar; estar firme"
σταυρός,cruz
σταυρόω,crucificar
στηρίζω,"fijar, fortalecer"
στρέφω,"volver, estar convertido, cambiar"
στρατηγός,"comandante, magistrado, capitán del templo"
στρατιώτης,soldado
στόμα,boca
συγγενής,"pariente; compatriota, paisano"
συγγενίς,"pariente; compatriota, paisano"
συζητέω,"discutir, disputar"
συκῆ,higuera
συλλαμβάνω,"captar, detener, concebir"
συμπίπτω,caer; caer debajo de
συμφέρω,"traer, ser provechoso o beneficioso, conviene"
συνάγω,"reunir, congregar"
συνέδριον,"concilio, Sanedrín"
συνέρχομαι,"venir/ir acompañar, congregarse"
συνέχω,"rodear, cercar, obligar, estar afligido con"
συνίημι,"entender, comprender"
συνίστημι,"recomendar, hablar bien de"
συναγωγή,"sinagoga, congregación"
συνείδησις,conciencia
συνεργός,compañero de trabajo
σφάζω,matar
σφραγίζω,"sellar, marcar con un sello"
σφραγίς,sello
σφόδρα,"mucho, muy, fuertemente"
σχίζω,"partir, rasgar, romper; dividir, desunir"
σωτήρ,"salvador, preservador, libertador"
σωτηρία,salvación
σός,"tuyo, tus"
σύ,tú
σύμφορος,"traer, ser provechoso o beneficioso, conviene"
σύν,con (dat)
σύνδουλος,consiervo; compañero de esclavitud
σῖτος,trigo
σῴζω,"salvar, sanar"
σῶμα,"cuerpo, carne"
τάλαντον,talento de plata o oro
τέ,"y, ambos"
τέκνον,niño(a); descendiente; habitante
τέλειος,"perfecto, maduro"
τέλος,"fin, propósito, tributo"
τέρας,"prodigio, portento"
τέσσαρες,cuatro
τέταρτος,cuarto
τίθημι,"poner, colocar; destinar"
τίκτω,"parir, dar a luz, producir"
τίμιος,"precioso, valioso, venerable"
τίς,"quién, cual, que"
ταπεινόω,"ser humilde, humillar"
ταράσσω,"molestar, turbar, inquietar"
ταχέως,"pronto, de prisa, rápidamente,"
ταχύς,"presto, pronto, en breve"
