strong	domain_type	domain	label	count	share
G0240	sdbg	092005	Reciprocal Reference	100	1.000
G0241	sdbg	011003	Socio-Political	1	1.000
G0242	sdbg	015031	Jump, Leap	2	0.667
G0243	sdbg	058006	Different Kind or Class	154	1.000
G0244	sdbg	088031	Being a Busybody	1	1.000
G0245	sdbg	092004	Whom or What Spoken or Written About	8	0.571
G0245	sdbg	011003	Socio-Political	5	0.357
G0246	sdbg	011002	Socio-Religious	1	1.000
G0247	sdbg	058006	Different Kind or Class	1	1.000
G0248	sdbg	043	Agriculture	3	1.000
G0249	sdbg	030001	To Think, Thought	2	0.667
G0250	sdbg	006021	Perfumes and Incense	1	1.000
G0252	sdbg	005002	Condiments	1	1.000
G0253	sdbg	025023	Sorrow, Regret	1	1.000
G0254	sdbg	006004	Instruments Used in Binding and Fastening	11	0.846
G0254	sdbg	037008	Imprison	2	0.154
G0255	sdbg	065005	Advantageous, Not Advantageous	1	1.000
G0256	sdbg	093001	Persons	5	1.000
G0257	sdbg	003004	Fruit Parts of Plants	2	0.500
G0257	sdbg	007007	Miscellaneous Constructions	2	0.500
G0258	sdbg	004001	Animals	2	0.667
G0259	sdbg	044	Animal Husbandry, Fishing	1	1.000
G0260	sdbg	089020	Association	6	0.545
G0260	sdbg	067002	A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After	5	0.455
G0261	sdbg	027001	Learn	1	1.000
G0262	sdbg	079005	Glorious	1	1.000
G0263	sdbg	079005	Glorious	1	1.000
G0264	sdbg	088038	Sin, Wrongdoing, Guilt	43	1.000
G0265	sdbg	088038	Sin, Wrongdoing, Guilt	4	1.000
G0266	sdbg	088038	Sin, Wrongdoing, Guilt	140	0.809
G0266	sdbg	088015	Bad, Evil, Harmful, Damaging	33	0.191
G0267	sdbg	033020	Witness, Testify	1	1.000
G0268	sdbg	088038	Sin, Wrongdoing, Guilt	47	1.000
G0269	sdbg	039005	Strife, Struggle	2	1.000
G0270	sdbg	043	Agriculture	1	1.000
G0271	sdbg	002006	Precious and Semiprecious Stones and Substances	1	1.000
G0272	sdbg	030002	To Think About, with the Implied Purpose of Responding Appropriately	4	1.000
G0273	sdbg	088038	Sin, Wrongdoing, Guilt	5	1.000
G0274	sdbg	088038	Sin, Wrongdoing, Guilt	2	1.000
G0275	sdbg	025021	Worry, Anxiety, Distress, Peace	2	1.000
G0276	sdbg	013002	Change of State	2	1.000
G0277	sdbg	031008	Change an Opinion Concerning Truth	1	1.000
G0278	sdbg	025023	Sorrow, Regret	2	1.000
G0279	sdbg	041005	Change Behavior	1	1.000
G0280	sdbg	078001	Much, Little [Positive-Negative Degree]	2	1.000
G0281	sdbg	072001	True, False	126	1.000
G0282	sdbg	010002	Kinship Relations Involving Successive Generations	1	1.000
G0283	sdbg	053004	Defile, Unclean, Common	4	1.000
G0284	sdbg	093001	Persons	3	1.000
G0285	sdbg	002005	Earth, Mud, Sand, Rock	4	0.800
G0286	sdbg	004001	Animals	4	1.000
G0287	sdbg	057012	Pay, Price, Cost	1	1.000
G0288	sdbg	003003	Plants That Are Not Trees	9	1.000
G0289	sdbg	043	Agriculture	1	1.000
G0290	sdbg	003003	Plants That Are Not Trees	23	1.000
G0291	sdbg	093001	Persons	1	1.000
G0292	sdbg	035001	Help	1	1.000
G0293	sdbg	006003	Instruments Used in Fishing	1	1.000
G0294	sdbg	049	Activities Involving Clothing and Adorning	4	1.000
G0295	sdbg	093002	Places	1	1.000
G0296	sdbg	001016	Thoroughfares: Roads, Streets, Paths, etc.	1	1.000
G0297	sdbg	059003	All, Any, Each, Every [Totality]	14	1.000
G0298	sdbg	088003	Holy, Pure	1	1.000
G0299	sdbg	088003	Holy, Pure	7	0.875
G0301	sdbg	093001	Persons	3	1.000
G0302	sdbg	071001	Possible, Impossible	112	0.696
G0302	sdbg	071003	Certain, Uncertain	49	0.304
G0303	sdbg	089016	Distribution	8	0.615
G0303	sdbg	083003	Among, Between, In, Inside	3	0.231
G0304	sdbg	007003	Parts and Areas of Buildings	2	1.000
G0305	sdbg	015010	Come/Go Up, Ascend	69	0.863
G0305	sdbg	023011	Grow, Growth	4	0.050
G0305	sdbg	015009	Come/Go Onto	4	0.050
G0305	sdbg	030001	To Think, Thought	3	0.037
G0306	sdbg	056004	Judicial Hearing, Inquiry	1	1.000
G0307	sdbg	015025	Pull, Draw, Drag	1	1.000
G0308	sdbg	024001	See	25	1.000
G0309	sdbg	024001	See	1	1.000
G0310	sdbg	033006	Speak, Talk	1	1.000
G0311	sdbg	067006	Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From	1	1.000
G0312	sdbg	033015	Inform, Announce	13	1.000
G0313	sdbg	013002	Change of State	2	1.000
G0314	sdbg	033005	Written Language	32	1.000
G0315	sdbg	037002	Compel, Force	9	1.000
G0316	sdbg	071005	Necessary, Unnecessary	7	0.875
G0317	sdbg	071004	Should, Ought	1	1.000
G0318	sdbg	071004	Should, Ought	9	0.529
G0318	sdbg	022001	Trouble, Hardship, Distress	5	0.294
G0318	sdbg	071005	Necessary, Unnecessary	3	0.176
G0320	sdbg	033005	Written Language	3	1.000
G0321	sdbg	054	Maritime Activities	14	0.609
G0321	sdbg	015023	Lead, Bring, Take	8	0.348
G0322	sdbg	037005	Assign to a Role or Function	1	0.500
G0323	sdbg	028003	Well Known, Clearly Shown, Revealed	1	1.000
