# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H2398	H3515	apposition	UNDETERMINED	0	0	5	5
H2398	H5771	apposition	UNDETERMINED	0	0	5	5
H2398	H5971	apposition	UNDETERMINED	0	0	5	5
H2398	H7489	apposition	UNDETERMINED	0	0	5	5
H2406	H0776	apposition	UNDETERMINED	0	0	5	5
H2406	H1706	apposition	UNDETERMINED	0	0	5	5
H2406	H2132	apposition	UNDETERMINED	0	0	5	5
H2406	H8081	apposition	UNDETERMINED	0	0	5	5
H2416	H0001	apposition	UNDETERMINED	0	2	3	5
H2416	H3605	apposition	CONTRADICTED	0	5	0	5
H2428	H0376	apposition	CONTRADICTED	0	5	0	5
H2428	H3605	apposition	CONTRADICTED	0	5	0	5
H2428	H4428	apposition	CONTRADICTED	0	5	0	5
H2428	H8269	apposition	UNDETERMINED	0	2	3	5
H2445	H0825	apposition	UNDETERMINED	2	0	3	5
H2472	H3915	apposition	UNDETERMINED	0	0	5	5
H2532	H5159	apposition	UNDETERMINED	0	0	5	5
H2532	H6643	apposition	UNDETERMINED	0	0	5	5
H2534	H0430	apposition	CONTRADICTED	0	4	1	5
H2593	H1004	apposition	UNDETERMINED	0	0	5	5
H2593	H3211	apposition	UNDETERMINED	0	0	5	5
H2625	H1419	apposition	UNDETERMINED	0	0	5	5
H2625	H2428	apposition	UNDETERMINED	0	0	5	5
H2719	H0376	apposition	CONTRADICTED	0	4	1	5
H2719	H1121	apposition	CONTRADICTED	0	5	0	5
H2719	H6430	apposition	UNDETERMINED	0	2	3	5
H2752	H1121	apposition	UNDETERMINED	0	0	5	5
H2850	H0776	apposition	CONTRADICTED	0	4	1	5
H2859	H0001	apposition	UNDETERMINED	0	2	3	5
H2859	H5291	apposition	UNDETERMINED	1	1	3	5
H2860	H1323	apposition	UNDETERMINED	0	0	5	5
H2896	H0776	apposition	UNDETERMINED	0	1	4	5
H2896	H4325	apposition	UNDETERMINED	0	1	4	5
H2896	H8064	apposition	UNDETERMINED	0	0	5	5
H2898	H1964	apposition	UNDETERMINED	0	0	5	5
H2898	H6918	apposition	UNDETERMINED	0	0	5	5
H2945	H3605	apposition	CONTRADICTED	0	4	1	5
H2945	H7998	apposition	CONFIRMED	3	0	2	5
H2983	H0776	apposition	CONTRADICTED	0	4	1	5
H2983	H1706	apposition	UNDETERMINED	1	0	4	5
H2983	H2100	apposition	UNDETERMINED	0	1	4	5
H2983	H2461	apposition	UNDETERMINED	0	1	4	5
H2983	H3427	apposition	UNDETERMINED	0	1	4	5
H3018	H1121	apposition	UNDETERMINED	0	0	5	5
H3018	H1241	apposition	UNDETERMINED	0	0	5	5
H3018	H1323	apposition	UNDETERMINED	0	0	5	5
H3018	H6629	apposition	UNDETERMINED	0	0	5	5
H3027	H0001	apposition	UNDETERMINED	0	2	3	5
H3027	H0430	apposition	UNDETERMINED	0	1	4	5
H3027	H1121	apposition	CONTRADICTED	0	3	2	5
H3027	H3605	apposition	CONTRADICTED	0	5	0	5
H3027	H4428	apposition	UNDETERMINED	0	2	3	5
H3064	H5971	apposition	UNDETERMINED	0	1	4	5
H3117	H1121	apposition	CONTRADICTED	0	4	1	5
H3117	H2416	apposition	UNDETERMINED	0	1	4	5
H3117	H3548	apposition	UNDETERMINED	0	0	5	5
H3117	H4428	apposition	UNDETERMINED	0	2	3	5
H3173	H4553	apposition	UNDETERMINED	0	0	5	5
H3206	H2233	apposition	UNDETERMINED	0	0	5	5
H3206	H3027	apposition	UNDETERMINED	0	1	4	5
H3206	H4639	apposition	UNDETERMINED	0	0	5	5
H3218	H1419	apposition	UNDETERMINED	0	1	4	5
H3218	H2428	apposition	UNDETERMINED	0	1	4	5
H3220	H4325	apposition	CONTRADICTED	0	5	0	5
H3220	H7227	apposition	UNDETERMINED	0	0	5	5
H3228	H0376	apposition	UNDETERMINED	0	0	5	5
H3228	H3027	apposition	UNDETERMINED	0	0	5	5
H3228	H3225	apposition	UNDETERMINED	0	0	5	5
H3289	H0001	apposition	UNDETERMINED	0	0	5	5
H3289	H0413	apposition	UNDETERMINED	0	0	5	5
H3289	H1368	apposition	UNDETERMINED	0	0	5	5
H3289	H5704	apposition	UNDETERMINED	0	0	5	5
H3289	H7965	apposition	UNDETERMINED	0	0	5	5
H3289	H8269	apposition	UNDETERMINED	0	0	5	5
H3372	H0376	apposition	UNDETERMINED	0	2	3	5
H3372	H0571	apposition	UNDETERMINED	0	0	5	5
H3372	H8130	apposition	UNDETERMINED	0	0	5	5
H3394	H3605	apposition	CONTRADICTED	0	5	0	5
H3394	H6635	apposition	CONTRADICTED	0	3	2	5
H3394	H8064	apposition	CONTRADICTED	0	3	2	5
H3427	H8064	apposition	UNDETERMINED	0	0	5	5
H3476	H0571	apposition	UNDETERMINED	0	0	5	5
H3476	H1697	apposition	UNDETERMINED	0	0	5	5
H3519	H0113	apposition	UNDETERMINED	0	2	3	5
H3519	H0430	apposition	CONTRADICTED	0	5	0	5
