# Edges enforce_acyclic() dropped (reversed/tied/unscored under the generality-
# ordering filter) -- direction shown is as originally proposed by apposition/
# distributional, NOT re-derived. Candidate pool for optional LLM adjudication,
# see adjudicate_direction_llm.py. Distinct from hierarchy_dag_flagged.tsv (edges
# that DID survive assembly but direction_yardstick.py's held-out check
# CONTRADICTED).
broader_strong	narrower_strong	sources
H6382	H7965	apposition:1
H6382	H8269	apposition:1
H6389	H4325	apposition:1
H6440	H0430	apposition:8
H6440	H0776	apposition:1
H6440	H1121	apposition:1
H6440	H3605	apposition:1
H6440	H4428	apposition:2
H6485	H8269	apposition:2
H6499	H1121	apposition:23
H6499	H1241	apposition:23
H6522	H0776	apposition:1
H6522	H1706	apposition:1
H6522	H2100	apposition:1
H6522	H2461	apposition:1
H6529	H1121	apposition:1
H6529	H1320	apposition:1
H6529	H1323	apposition:1
H6529	H5158	apposition:1
H6529	H6086	apposition:1
H6547	H1419	apposition:1
H6547	H4428	apposition:23
H6588	H2233	apposition:1
H6588	H8267	apposition:1
H6635	H0430	apposition:45
H6635	H2022	apposition:1
H6635	H4428	apposition:1
H6635	H5892	apposition:1
H6635	H5971	apposition:1
H6677	H0251	apposition:1
H6731	H5145	apposition:1
H6731	H6944	apposition:1
H6754	H8251	apposition:1
H6918	H4428	apposition:1
H6944	H2022	apposition:2
H6944	H8064	apposition:2
H6953	H1121	apposition:1
H6956	H4720	apposition:1
H6956	H5375	apposition:1
H6963	H0430	apposition:3
H7017	H2859	apposition:1
H7045	H1121	apposition:1
H7121	H0001	apposition:1
H7121	H4294	apposition:1
H7121	H5387	apposition:1
H7130	H8179	apposition:1
H7148	H0376	apposition:1
H7148	H8034	apposition:1
H7218	H0001	apposition:1
H7218	H3548	apposition:1
H7218	H4428	apposition:2
H7307	H1121	apposition:2
H7307	H1419	apposition:1
H7307	H3548	apposition:1
H7307	H4428	apposition:1
H7311	H1121	apposition:1
H7323	H7392	apposition:1
H7342	H0776	apposition:1
H7342	H1706	apposition:1
H7342	H2100	apposition:1
H7342	H2461	apposition:1
H7358	H1060	apposition:1
