# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 21:9	Genesis 21:9	Attr
Genesis 21:9	Genesis 21:9	PrAd
Genesis 21:12	Genesis 21:12	RgRc
Genesis 21:13	Genesis 21:13	Resu
Genesis 21:14	Genesis 21:14	Adju
Genesis 21:17	Genesis 21:17	Adju
Genesis 21:22	Genesis 21:22	Adju
Genesis 21:22	Genesis 21:22	RgRc
Genesis 21:23	Genesis 21:23	Attr
Genesis 21:23	Genesis 21:23	Attr
Genesis 21:25	Genesis 21:25	Attr
Genesis 21:26	Genesis 21:26	Objc
Genesis 21:29	Genesis 21:29	Attr
Genesis 22:2	Genesis 22:2	Attr
Genesis 22:2	Genesis 22:2	Attr
Genesis 22:3	Genesis 22:3	Attr
Genesis 22:4	Genesis 22:4	Resu
Genesis 22:9	Genesis 22:9	Attr
Genesis 22:10	Genesis 22:10	Adju
Genesis 22:12	Genesis 22:12	Objc
Genesis 22:13	Genesis 22:13	Attr
Genesis 22:16	Genesis 22:16	Objc
Genesis 22:16	Genesis 22:16	Adju
Genesis 22:16	Genesis 22:16	Coor
Genesis 22:17	Genesis 22:16	Resu
Genesis 22:17	Genesis 22:17	Attr
Genesis 22:20	Genesis 22:20	Adju
Genesis 22:24	Genesis 22:24	Resu
Genesis 23:2	Genesis 23:2	Adju
Genesis 23:2	Genesis 23:2	Coor
Genesis 23:3	Genesis 23:3	Adju
Genesis 23:5	Genesis 23:5	Adju
Genesis 23:6	Genesis 23:6	Resu
Genesis 23:6	Genesis 23:6	Adju
Genesis 23:8	Genesis 23:8	Adju
Genesis 23:8	Genesis 23:8	Adju
Genesis 23:9	Genesis 23:9	Attr
Genesis 23:9	Genesis 23:9	Attr
Genesis 23:10	Genesis 23:10	Adju
Genesis 23:11	Genesis 23:11	Attr
Genesis 23:11	Genesis 23:11	Resu
Genesis 23:13	Genesis 23:13	Adju
Genesis 23:14	Genesis 23:14	Adju
Genesis 23:15	Genesis 23:15	ReVo
Genesis 23:15	Genesis 23:15	Resu
Genesis 23:16	Genesis 23:16	Attr
Genesis 23:16	Genesis 23:16	Attr
Genesis 23:17	Genesis 23:17	Attr
Genesis 23:17	Genesis 23:17	Attr
Genesis 23:17	Genesis 23:17	Attr
Genesis 23:17	Genesis 23:17	Attr
Genesis 23:17	Genesis 23:17	Attr
Genesis 23:20	Genesis 23:20	Attr
Genesis 24:2	Genesis 24:2	Attr
Genesis 24:2	Genesis 24:2	RgRc
Genesis 24:3	Genesis 24:3	Objc
Genesis 24:3	Genesis 24:3	Attr
Genesis 24:5	Genesis 24:5	Adju
Genesis 24:5	Genesis 24:5	Attr
Genesis 24:6	Genesis 24:6	Adju
Genesis 24:7	Genesis 24:7	Attr
Genesis 24:7	Genesis 24:7	Coor
Genesis 24:7	Genesis 24:7	Coor
Genesis 24:7	Genesis 24:7	Adju
Genesis 24:7	Genesis 24:7	Resu
Genesis 24:8	Genesis 24:8	Adju
Genesis 24:11	Genesis 24:11	RgRc
Genesis 24:12	Genesis 24:12	ReVo
Genesis 24:13	Genesis 24:13	Adju
Genesis 24:14	Genesis 24:14	Attr
Genesis 24:14	Genesis 24:14	Coor
Genesis 24:14	Genesis 24:14	Resu
Genesis 24:14	Genesis 24:14	Objc
Genesis 24:15	Genesis 24:15	Adju
Genesis 24:15	Genesis 24:15	Attr
Genesis 24:16	Genesis 24:16	Coor
Genesis 24:17	Genesis 24:17	Adju
Genesis 24:19	Genesis 24:19	Adju
Genesis 24:19	Genesis 24:19	Adju
Genesis 24:20	Genesis 24:20	Adju
Genesis 24:21	Genesis 24:21	Adju
Genesis 24:21	Genesis 24:21	Objc
Genesis 24:22	Genesis 24:22	Adju
Genesis 24:22	Genesis 24:22	Adju
Genesis 24:22	Genesis 24:22	Attr
Genesis 24:22	Genesis 24:22	Attr
Genesis 24:23	Genesis 24:23	Objc
Genesis 24:23	Genesis 24:23	Adju
Genesis 24:24	Genesis 24:24	Attr
Genesis 24:25	Genesis 24:25	Adju
Genesis 24:27	Genesis 24:27	Attr
