# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H0001	H3627	1
H0001	H6996	1
H6231	H1330	1
H6231	H1323	1
H4960	H8106	1
H8081	H4960	1
H8081	H8106	1
H7272	H6471	1
H7272	H1800	1
H6041	H6471	1
H6041	H1800	1
H3882	H1282	1
H3882	H6129	1
H8069	H7898	1
H2230	H8178	1
H2230	H6986	1
H1259	H8178	1
H1259	H6986	1
H2472	H2377	1
H5869	H5030	1
H7218	H2374	1
H3206	H4639	1
H3206	H3027	1
H6389	H2989	1
H6389	H4325	1
H2197	H5311	1
H2197	H2230	1
H2197	H0068	1
H2197	H1259	1
H0639	H5311	1
H0639	H2230	1
H0639	H0068	1
H0639	H1259	1
H3851	H5311	1
H3851	H2230	1
H3851	H0068	1
H3851	H1259	1
H0784	H5311	1
H0784	H2230	1
H0784	H0068	1
H0784	H1259	1
H0398	H5311	1
H0398	H2230	1
H0398	H0068	1
H0398	H1259	1
H6975	H8069	1
H3605	H7151	1
H3605	H5947	1
H1004	H7151	1
H1004	H5947	1
H4885	H7151	1
H4885	H5947	1
H4725	H2975	1
H4725	H7342	1
H4725	H3027	1
H5104	H2975	1
H5104	H7342	1
H5104	H3027	1
H3117	H7966	1
H5359	H8141	1
H5359	H7966	1
H3519	H1926	1
H3519	H0430	1
H0776	H1715	1
H0776	H8492	1
H0776	H3899	1
H0776	H3754	1
H2233	H0157	1
H6918	H1254	1
H6918	H4428	1
H5971	H0972	1
H3117	H1755	1
H3117	H5769	1
H6924	H1755	1
H6924	H5769	1
H3220	H4325	1
H3220	H8415	1
H3220	H7227	1
H2534	H1606	1
H2534	H0430	1
H3206	H2233	1
H3206	H8267	1
H6588	H2233	1
H6588	H8267	1
H0352	H4302	1
H6664	H4302	1
H5971	H1350	1
H6944	H1350	1
H1875	H5892	1
H5650	H7626	1
H5650	H5159	1
H0953	H7665	1
H5002	H6635	1
H0776	H5159	1
H0776	H6643	1
H2532	H5159	1
H2532	H6643	1
H1389	H1995	1
H1389	H2022	1
H3018	H6629	1
H3018	H1241	1
H3018	H1121	1
H3018	H1323	1
H0001	H6629	1
H0001	H1241	1
H0001	H1121	1
H0001	H1323	1
