strong	gloss	translit
H544	faithfulness	o.men
H545	brought up	om.nah
H546	truly	om.nah
H547	pillar	o.me.nah
H548	sure	a.ma.nah
H549	Amana	a.ma.nah
H550	Amnon	am.non
H551	truly	om.nam
H552	truly	um.nam
H553	strengthen	a.mats
H554	strong	a.mots
H555	strength	o.mets
H556	strength	am.tsah
H557	Amzi	am.tsi
H558	Amaziah	a.mats.yah
H559	say	a.mar
H560	say	a.mar
H561	word	e.mer
H562	word	o.mer
H563	lamb	im.mar
H564	Immer	im.mer
H565	word	im.rah
H566	Imri	im.ri
H567	Amorite	e.mo.ri
H568	Amariah	a.mar.yah
H569	Amraphel	am.ra.phel
H570	last night	e.mesh
H571	truth	e.met
H572	sack	am.ta.chat
H573	Amittai	a.mit.tay
H574	terrible	e.me.ta.ni
H575	where?	an
H576	me	a.na
H577	Please!	an.na
H578	lament	a.nah
H579	meet	a.nah
H580	we	a.nu
H581	they	in.nun
H582	human	e.nosh
H583	Enosh	e.nosh
H584	sigh	a.nach
H585	sighing	a.na.chah
H586	we	a.nach.na
H587	we	a.nach.nu
H588	Anaharath	a.na.cha.rat
H589	I	a.ni
H590	fleet	o.ni
H591	fleet	o.niy.yah
H592	lamentation	a.niy.yah
H593	Aniam	a.ni.am
H594	plumbline	a.nakh
H595	I	a.no.khi
H596	complain	a.nan
H597	compel	a.nas
H598	constrain	a.nas
H599	be angry	a.naph
H600	face	a.naph
H601	heron	a.na.phah
H602	groan	a.naq
H603	groaning	a.na.qah
H604	gecko	a.na.qah
H605	be incurable	a.nash
H606	man	e.nash
H607	you	an.tah
H608	you	an.tun
H609	Asa	a.sa
H610	flask	a.sukh
H611	harm	a.son
H612	bond	e.sur
H613	bond	e.sur
H614	ingathering	a.siph
H615	prisoner	a.sir
H616	prisoner	as.sir
H617	Assir	as.sir
H618	storehouse	a.sam
H619	Asnah	as.nah
H620	Osnappar	os.nap.par
H621	Asenath	a.se.nat
H622	gather	a.saph
H623	Asaph	a.saph
H624	storehouse	a.suph
H625	gathering	o.seph
H626	collecting	a.se.phah
H627	collection	a.sup.pah
H628	rabble	a.se.pe.suph
H629	diligently	os.par.na
H630	Aspatha	as.pa.ta
H631	bind	a.sar
H632	injunction	e.sar
H633	injunction	e.sar
H634	Esarhaddon	e.sar-chad.don
H635	Esther	es.ter
H636	wood	a
H637	also	aph
H638	also	aph
H639	face	aph
H640	gird	a.phad
H641	Ephod	e.phod
H642	ephod	e.phud.dah
H643	palace	ap.pe.den
H644	bake	a.phah
H645	then	e.pho
H646	ephod	e.phod
H647	Aphiah	a.phi.ach
H648	late	a.phil
H649	Appaim	ap.pa.yim
H650	channel	a.phiq
H651	gloom	a.phel
H652	darkness	o.phel
H653	darkness	a.phe.lah
H654	Ephlal	eph.lal
H655	time	o.phen
H656	end	a.phes
H657	end	e.phes
H658	Ephes-dammim	e.phes dam.mim
H659	worthless	e.pah
H660	viper	eph.eh
H661	surround	a.phaph
H662	refrain	a.phaq
H663	Aphek	a.pheq
H664	Aphekah	a.phe.qah
H665	ashes	e.pher
H666	bandage	a.pher
H667	young	eph.ro.ach
H668	carriage	ap.pir.yon
H669	Ephraim	eph.ra.yim
H670	Persia	a.pha.re.say
H671	governors	a.phar.se.khay
H672	Ephrathah	eph.ra.tah
H673	Ephraimite	eph.ra.ti
H674	revenue	ap.p.tom
H675	Ezbon	ets.bon
H676	finger	ets.ba
H677	digit	ets.ba
H678	chief	a.tsil
H679	joint	ats.tsil
H680	reserve	a.tsal
H681	beside	e.tsel
H682	Azel	a.tsel
H683	Azaliah	a.tsal.ya.hu
H684	Ozem	o.tsem
H685	armlet	ets.a.dah
H686	store	a.tsar
H687	Ezer	e.tser
H688	carbuncle	eq.dach
H689	wild goat	aq.qo
H690	Ara	a.ra
H691	hero	er.el
H692	Areli	ar.e.li
H693	ambush	a.rav
H694	Arab	a.rav
H695	ambush	e.rev
H696	ambush	o.rev
H697	locust	ar.beh
H698	skill	o.ro.vah
H699	window	a.rub.bah
H700	Arubboth	a.rub.bot
H701	Arbite	ar.bi
H702	four	ar.ba
H703	four	ar.ba
H704	Arba	ar.ba
H705	forty	ar.ba.im
H706	fourfold	ar.ba.ta.yim
H707	weave	a.rag
H708	shuttle	e.reg
H709	Argob	ar.gov
H710	purple	ar.ge.van
H711	purple	ar.ge.van
H712	box	ar.gaz
H713	purple	ar.ga.man
H714	Ard	ard
H715	Ardon	ar.don
H716	Ardite	ar.di
H717	pluck	a.rah
H718	behold!	a.ru
H719	Arvad	ar.vad
H720	Arod	a.rod
H721	Arvadite	ar.va.di
H722	Arodi	a.ro.di
H723	stall	ur.vah
H724	health	a.ru.khah
H725	Arumah	a.ru.mah
H726	Syrian	a.ro.mi
H727	ark	a.ron
H728	Araunah	a.rav.nah
H729	reinforced	a.raz
H730	cedar	e.rez
H731	cedar	ar.zah
H732	journey	a.rach
H733	Arah	a.rach
H734	way	o.rach
H735	way	o.rach
H736	caravan	o.re.chah
H737	ration	a.ru.chah
H738	lion	a.ri
H739	Ariel	a.ri.el
H740	Ariel	a.ri.el
H741	altar	a.ri.el
H742	Aridai	a.ri.day
H743	Aridatha	a.ri.da.ta
H744	lion	ar.yeh
H745	Arieh	ar.yeh
H746	Arioch	ar.yokh
H747	Arisai	a.ri.say
H748	prolong	a.rakh
H749	be proper	a.rakh
H750	slow	a.rekh
H751	Erech	e.rekh
H752	long	a.rokh
H753	length	o.rekh
H754	lengthening	ar.ka
H755	knee	ar.khu.vah
H756	Erech	ar.ke.vay
H757	Archite	ar.ki
H758	Aram	a.ram
H759	citadel	ar.mon
H760	Aram-zobah	a.ram tso.vah
H761	Aramean	a.ram.mi
H762	Aramaic	a.ra.mit
H763	Mesopotamia	a.ram na.ha.ra.yim
H764	Armoni	ar.mo.ni
H765	Aran	a.ran
H766	fir	o.ren
H767	Oren	o.ren
H768	hare	ar.ne.vet
H769	Arnon	ar.non
H770	Arnan	ar.nan
H771	Ornan	or.nan
H772	earth	a.ra
H773	bottom	ar.it
H774	Arpad	ar.pad
H775	Arpachshad	ar.pakh.shad
H776	land	e.rets
H777	Arza	ar.tsa
H778	earth	a.raq
H779	curse	a.rar
H780	Ararat	a.ra.rat
H781	betroth	a.ra.s
H782	request	a.re.shet
H783	Artaxerxes	ar.tach.shash.ta
H784	fire	esh
H785	fire	esh
H786	there is	ish
H787	foundation	osh
H788	Ashbel	ash.bel
H789	Ashbelite	ash.be.li
H790	Eshban	esh.ban
H791	ashbea	ash.be.a
H792	Eshbaal	esh.ba.al
H793	slope	e.shed
H794	slope	a.she.dah
H795	Ashdod	ash.dod
H796	Ashdod	ash.do.di
H797	Ashdod	ash.do.dit
H798	Slopes (of Pisgah)	ash.dot hap.pis.gah
H799	fiery	esh.dat
H800	fire	esh.shah
H801	food offering	ish.shah
H802	woman	ish.shah
H803	foundation	a.shu.yah
H804	Assyria	ash.shur
H805	Asshurim	a.shu.ri
H806	Ashhur	ash.chur
H807	Ashima	a.shi.ma
H808	foundation	a.shish
H809	raisin bun	a.shi.shah
H810	testicle	e.shekh
H811	cluster	esh.kol
H812	Eshcol	esh.kol
H813	Ashkenaz	ash.ke.naz
H814	gift	esh.kar
H815	tamarisk	e.shel
H816	be guilty	a.sham
H817	guilt (offering)	a.sham
H818	guilty	a.shem
H819	guiltiness	ash.mah
H820	strong	ash.man
H821	watch	ash.mu.rah
H822	lattice	esh.nav
H823	Ashnah	ash.nah
H824	Eshan	esh.an
H825	enchanter	ash.shaph
H826	enchanter	ash.shaph
H827	quiver	ash.pah
H828	Ashpenaz	ash.pe.naz
H829	raisin bun	esh.par
H830	Dung (Gate)	ash.pot
H831	Ashkelon	ash.qe.lon
H832	Ashkelonite	esh.qe.lo.ni
H833	bless	a.shar
H834	which	a.sher
H835	blessed	e.sher
H836	Asher	a.sher
H837	happy	o.sher
H838	step	a.shur
H839	pine	a.shur
H840	Asarel	a.sar.el
H841	Asharelah	a.sar.e.lah
H842	Asherah	a.she.rah
H843	Asherite	a.she.ri
H844	Asriel	as.ri.el
H845	Asrielite	as.ri.e.li
H846	wall	ush.shar.na
H847	Eshtaol	esh.ta.ol
H848	Eshtaolite	esh.ta.u.li
H849	sedition	esh.tad.dur
H850	Eshton	esh.ton
H851	Eshtemoa	esh.te.mo.a
H852	sign	at
H853	[Obj.]	et
H854	with	et
H855	plowshare	et
H856	Ethbaal	et.ba.al
H857	come	a.tah
H858	come	a.tah
H859	you(m.s.)	at.tah
H860	she-ass	a.ton
H861	furnace	at.tun
H862	gallery	at.tuq
H863	Ittai	it.tay
H864	Etham	e.tam
H865	previously	et.mol
H866	wages	et.nah
H867	Ethni	et.ni
H868	wages	et.nan
H869	Ethnan	et.nan
H870	place	a.tar
H871	Atharim	a.ta.rim
H872	entrance	be.ah
H873	bad	bi.ush
H874	make plain	ba.ar
H875	well	be.er
H876	Beer	be.er
H877	cistern	bor
H878	Beera	be.e.ra
H879	Beer-elim	be.er e.lim
H880	Beerah	be.e.rah
H881	Beeroth	be.e.rot
H882	Beeri	be.e.ri
H883	Beer-lahai-roi	be.er la.chay ro.i
H884	Beersheba	be.er she.va
H885	Beeroth-bene-jaakan	be.e.rot be.ne-ya.a.qan
H886	Beerothite	be.e.ro.ti
H887	stink	ba.ash
H888	be displeased	be.esh
H889	stench	be.osh
H890	foul weed	bo.shah
H891	sour grapes	be.u.shim
H892	apple	ba.vah
H893	Bebai	be.vay
H894	Babylon	ba.vel
H895	Babylon	ba.vel
H896	Babylonian	bav.li
H897	spoil	bag
H898	act treacherously	ba.gad
H899	treachery	be.ged
H900	treachery	bo.ge.dot
H901	treacherous	ba.god
H902	Bigvai	big.vay
H903	Bigtha	big.ta
H904	Bigthan	big.tan
H905	alone	bad
H906	linen	bad
H907	bluster	bad
H908	devise	ba.da
H909	be alone	ba.dad
H910	isolation	ba.dad
H911	Bedad	be.dad
H912	Bedeiah	be.de.yah
H913	tin	be.dil
H914	separate	ba.dal
H915	piece	ba.dal
H916	bdellium	be.do.lach
H917	Bedan	be.dan
H918	repair	ba.daq
H919	breach	be.deq
H920	Bidkar	bid.qar
H921	scatter	be.dar
H922	void	bo.hu
H923	porphyry	ba.hat
H924	hastely	be.hi.lu
H925	bright	ba.hir
H926	dismay	ba.hal
H927	dismay	be.hal
H928	dismay	be.ha.lah
H929	animal	be.he.mah
H930	Behemoth	be.he.mot
H931	thumb	bo.hen
H932	Bohan	bo.han
H933	spot	bo.haq
H934	bright spot	bo.he.ret
H935	come (in)	bo
H936	despise	buz
H937	contempt	buz
H938	Buz	buz
H939	contempt	bu.zah
H940	Buzite	bu.zi
H941	Buzi	bu.zi
H942	Bavvai	bav.vay
H943	perplex	bukh
H944	produce	bul
H945	Bul	bul
H946	Bunah	bu.nah
H947	trample	bus
H948	fine linen	buts
H949	Bozez	bo.tsets
H950	emptiness	bu.qah
H951	herdsman	bo.qer
H952	explain	bur
H953	pit	bor
H954	be ashamed	bush
H955	shame	bu.shah
H956	lodge	but
H957	plunder	baz
H958	divide	ba.za
H959	despise	ba.zah
H960	despise	ba.zoh
H961	plunder	biz.zah
H962	plunder	ba.zaz
H963	contempt	biz.za.von
H964	Biziothiah	biz.yo.te.yah
H965	lightning	ba.zaq
H966	Bezek	be.zeq
H967	scatter	ba.zar
H968	Biztha	biz.ta
H969	assayer	ba.chon
H970	youth	ba.chur
H971	tower	ba.chin
H972	chosen	ba.chir
H973	loath	ba.chal
H974	test	ba.chan
H975	watchtower	ba.chan
H976	testing	bo.chan
H977	choose	ba.char
H978	Baharumite	ba.cha.ru.mi
H979	youth	be.chu.rot
H980	Bahurim	ba.chu.rim
H981	speak rashly	ba.tah
H982	trust	ba.tach
H983	security	be.tach
H984	Betah	be.tach
H985	trust	bit.chah
H986	trust	bit.ta.chon
H987	security	bat.tu.chot
H988	cease	ba.tel
H989	cease	be.tel
H990	belly	be.ten
H991	Beten	be.ten
H992	pistachio	bo.ten
H993	Betonim	be.to.nim
H994	please	bi
H995	understand	bin
H996	between	ba.yin
H997	between	ben
H998	understanding	bi.nah
H999	understanding	bi.nah
H1000	egg	be.tsah
H1001	citadel	bi.ra
H1002	palace	bi.rah
H1003	fortress	bi.ra.nit
H1004	place	bet
H1005	house	ba.yit
H1006	Bajith	ba.yit
H1007	Beth-aven	bet a.ven
H1008	Bethel	bet-el
H1009	Beth-arbel	bet ar.bel
H1010	Beth-meon	bet ba.al me.on
H1011	Beth-biri	bet bir.i
H1012	Beth-barah	bet ba.rah
H1013	Beth-gader	bet-ga.der
H1014	Beth-gamul	bet ga.mul
H1015	Beth-diblathaim	bet div.la.ta.yim
H1016	Beth-dagon	bet-da.gon
H1017	Bethelite	bet ha.e.li
H1018	Beth-ezel	bet ha.e.tsel
