# OT-in-NT quotations via LXX Strong's overlap (IDF-weighted); shoresh lxx.build_quotations
# ot_ref is Masoretic/English numbering; vrs=lxx? marks a boundary Psalm left in LXX numbering (needs V1 verse-map)
nt_ref	ot_ref	confidence	vrs	n_shared	score	shared_strongs
MAT 12:17	ISA 37:6	high	mt	3	0.495	G2046,2268,3004
MAT 12:17	ISA 39:3	high	mt	3	0.482	G2268,3004,4396
MAT 12:17	JER 13:13	high	mt	4	0.463	G2046,3004,4137,4396
MAT 12:18	PSS 9:9	med	mt	3	0.335	G0140,1484,5087
MAT 12:18	ISA 42:1	med	mt	5	0.314	G1484,2920,3816,4151,5590
MAT 12:19	1SA 12:15	high	mt	3	0.515	G0191,2051,5456
MAT 12:19	EZR 3:13	high	mt	3	0.503	G0191,2905,5456
MAT 12:19	1SA 12:14	med	mt	3	0.418	G0191,2051,5456
MAT 12:20	ISA 42:3	high	mt	5	0.654	G2563,2920,3043,4570,4937
MAT 12:21	ISA 42:4	high	mt	3	0.606	G1484,1679,3686
MAT 12:22	EXO 4:11	high	mt	3	0.644	G0991,2974,5185
MAT 12:22	ISA 29:18	high	mt	3	0.529	G0991,2974,5185
MAT 12:23	HOS 3:5	med	mt	3	0.362	G1138,1839,5207
MAT 12:25	ISA 24:10	med	mt	4	0.446	G2049,3614,3956,4172
MAT 12:25	DEU 3:10	med	mt	3	0.411	G0932,3956,4172
MAT 12:25	EST 1:22	med	mt	3	0.316	G0932,3614,3956
MAT 12:31	PSA 85:3	med	mt	3	0.365	G0266,0863,3956
MAT 12:31	PSA 25:18	med	mt	3	0.324	G0266,0863,3956
MAT 12:32	1KI 12:22	med	mt	3	0.346	G0444,3004,3056
MAT 12:32	2CH 11:2	med	mt	3	0.346	G0444,3004,3056
MAT 12:33	EZK 17:8	med	mt	3	0.423	G2570,2590,4160
MAT 12:34	ECC 2:15	med	mt	3	0.443	G2588,2980,4051
MAT 12:35	NEH 2:10	med	mt	3	0.365	G0018,0444,4190
MAT 12:36	EXO 20:1	med	mt	4	0.396	G2980,3004,3056,3956
MAT 12:36	2SA 17:6	med	mt	4	0.392	G2980,3004,3056,4487
MAT 12:36	2KI 1:7	med	mt	4	0.353	G2920,2980,3004,3056
MAT 12:39	2KI 3:11	med	mt	3	0.343	G0611,1934,4396
MAT 12:40	JON 2:1	high	mt	7	0.766	G1510,2250,2495,2785,2836,3571,5140
MAT 12:40	JON 2:2	high	mt	3	0.705	G2495,2785,2836
MAT 12:40	JON 3:3	med	mt	4	0.344	G1510,2250,2495,5140
MAT 12:42	2CH 9:3	med	mt	3	0.343	G0938,3708,4678
MAT 12:43	ISA 41:12	med	mt	3	0.427	G0444,2147,2212
MAT 12:43	PSA 103:16	med	mt	3	0.368	G1330,4151,5117
MAT 12:43	PSA 37:36	med	mt	3	0.367	G2147,2212,5117
MAT 12:45	JOB 23:8	med	mt	4	0.39	G1510,2078,4198,4413
MAT 12:45	DAN 11:29	med	mt	4	0.381	G1510,1525,2078,4413
MAT 12:45	JOB 8:7	med	mt	3	0.326	G1510,2078,4413
MAT 12:46	1MA 13:28	med	mt	3	0.428	G0080,2476,3384
MAT 12:47	1MA 13:28	high	mt	3	0.498	G0080,2476,3384
MAT 12:47	JDG 9:1	med	mt	4	0.4	G0080,2980,3004,3384
