strong	tw_article	category	is_kt	lemma	n
G3624	bible/other/household	other	0	οἶκος	16
G3624	bible/kt/houseofgod	kt	1	οἶκος	5
G3624	bible/names/houseofdavid	names	0	οἶκος	1
G3625	bible/kt/world	kt	1	οἰκουμένη	15
G3627	bible/kt/compassion	kt	1	οἰκτείρω	2
G3628	bible/kt/compassion	kt	1	οἰκτιρμός	4
G3628	bible/kt/mercy	kt	1	οἰκτιρμός	2
G3629	bible/kt/mercy	kt	1	οἰκτίρμων	3
G3630	bible/other/drunk	other	0	οἰνοπότης	2
G3631	bible/other/wine	other	0	οἶνος	34
G3632	bible/other/drunk	other	0	οἰνοφλυγία	1
G3636	bible/other/trouble	other	0	ὀκνηρός	1
G3639	bible/other/ruin	other	0	ὄλεθρος	1
G3640	bible/kt/faith	kt	1	ὀλιγόπιστος	4
G3645	bible/other/destroyer	other	0	ὀλοθρεύω	1
G3646	bible/other/burntoffering	other	0	ὁλοκαύτωμα	3
G3653	bible/other/fig	other	0	ὄλυνθος	1
G3657	bible/other/companion	other	0	ὁμιλία	1
G3660	bible/other/oath	other	0	ὀμνύω	26
G3670	bible/kt/confess	kt	1	ὁμολογέω	22
G3670	bible/kt/promise	kt	1	ὁμολογέω	2
G3670	bible/other/declare	other	0	ὁμολογέω	1
G3671	bible/kt/confess	kt	1	ὁμολογία	6
G3677	bible/other/dream	other	0	ὄναρ	6
G3678	bible/other/donkey	other	0	ὀνάριον	1
G3679	bible/other/shame	other	0	ὀνειδίζω	5
G3680	bible/other/shame	other	0	ὀνειδισμός	5
G3685	bible/other/profit	other	0	ὀνίνημι	1
G3687	bible/kt/call-speakloudly	kt	1	ὀνομάζω	2
G3688	bible/other/donkey	other	0	ὄνος	5
G3696	bible/other/armor	other	0	ὅπλον	5
G3701	bible/other/vision	other	0	ὀπτασία	4
G3703	bible/other/fruit	other	0	ὀπώρα	1
G3705	bible/other/vision	other	0	ὅραμα	11
G3706	bible/other/vision	other	0	ὅρασις	2
