hebrew_strong	greek_strong	count
H1339	G1525	4
H1339	G0935	3
H1339	G2036	3
H1347	G5196	4
H1350	G3084	17
H1350	G1510	7
H1350	G2036	5
H1350	G4506	5
H1361	G5312	6
H1364	G5308	8
H1364	G3586	4
H1364	G2038	3
H1366	G3725	87
H1366	G1096	9
H1366	G2474	6
H1366	G3173	5
H1367	G2945	3
H1367	G3725	3
H1368	G1415	32
H1368	G1411	7
H1368	G2478	5
H1368	G1510	5
H1369	G2479	7
H1369	G1411	5
H1369	G1125	4
H1369	G4160	3
H1389	G1015	11
H1389	G3956	5
H1389	G3586	3
H1390	G0958	3
H1391	G2730	4
H1396	G2729	4
H1397	G0435	18
H1397	G0444	5
H1400	G0435	4
H1404	G2959	4
H1405	G2474	3
H1406	G1430	7
H1410	G1045	22
H1410	G5207	15
H1410	G4502	4
H1410	G5443	3
H1416	G5207	4
H1419	G3173	103
H1419	G4160	13
H1419	G2962	13
H1419	G1093	10
H1420	G3172	4
H1423	G2056	7
H1423	G3384	3
H1425	G4502	4
H1431	G3170	14
H1431	G5312	6
H1431	G2962	4
H1431	G0837	4
H1435	G5207	4
H1436	G5207	3
H1439	G1066	18
H1439	G2036	3
H1441	G5207	3
H1459	G2575	3
H1463	G1136	5
H1471	G1484	131
H1471	G3956	15
H1471	G4160	13
H1471	G1093	12
H1472	G4983	4
H1473	G5207	4
H1473	G0161	4
H1473	G0935	3
H1478	G0599	3
H1478	G1587	3
H1481	G3939	15
H1481	G4339	9
H1481	G4334	4
H1481	G5117	3
H1486	G2819	14
H1486	G1831	8
H1486	G2962	4
H1486	G1520	3
H1492	G1096	4
H1494	G2751	5
H1497	G0726	3
H1497	G1283	3
H1513	G0440	3
H1516	G5327	7
H1522	G3808	4
H1523	G5463	4
H1530	G4172	3
H1530	G2949	3
H1533	G3735	5
H1534	G5164	3
H1537	G2962	5
H1537	G2992	3
H1540	G0601	15
H1540	G0602	11
H1540	G1093	7
H1540	G0343	7
H1541	G0343	3
H1543	G1325	4
H1544	G3392	6
H1544	G1497	4
H1548	G3587	8
H1568	G1093	9
H1568	G5207	6
H1568	G3128	5
H1568	G2036	5
H1571	G2962	23
H1571	G1510	21
H1571	G3956	19
H1571	G4160	14
H1580	G0467	3
H1581	G2574	20
H1581	G3688	5
H1583	G5207	3
H1588	G2779	9
H1588	G3857	6
H1588	G2316	3
H1588	G5172	3
H1589	G2813	4
H1589	G3571	3
H1590	G2812	6
H1593	G2779	3
H1598	G4172	3
H1602	G5590	4
H1605	G2008	3
H1612	G0288	13
H1612	G4808	3
H1616	G4339	24
H1616	G1510	8
H1616	G1093	4
H1616	G5503	4
H1625	G0169	6
H1637	G0257	15
H1637	G3025	4
H1639	G0851	3
H1644	G1544	10
H1644	G4383	4
H1647	G5207	5
H1648	G5207	7
H1648	G1218	3
H1653	G5205	10
H1657	G1093	7
H1660	G3025	3
H1661	G1401	4
H1661	G1510	3
H1667	G4172	4
H1683	G0913	3
H1687	G0040	3
H1692	G2853	4
H1692	G4347	3
H1696	G2980	381
H1696	G2962	52
H1696	G2036	42
H1696	G3004	27
H1697	G3056	185
H1697	G4487	118
H1697	G1096	80
H1697	G2962	65
H1698	G2288	7
H1706	G3192	21
H1710	G2486	3
H1714	G1808	5
H1714	G5001	4
H1715	G3631	5
H1715	G4621	4
H1719	G5207	4
H1722	G5552	3
H1722	G4352	3
H1730	G0080	4
H1730	G2570	4
H1730	G2036	3
H1730	G3149	3
H1732	G1138	232
H1732	G2036	65
H1732	G3962	26
H1732	G0935	20
H1734	G5207	3
H1755	G1074	41
H1755	G2962	8
H1755	G3956	6
H1755	G0166	5
H1768	G3956	19
H1768	G0935	17
H1768	G1510	13
H1768	G2316	8
H1777	G2919	5
H1785	G2945	3
H1787	G5207	3
H1800	G3993	4
H1800	G4434	3
H1800	G5011	3
H1806	G5207	3
H1807	G2036	3
H1817	G2374	21
H1817	G3624	7
H1817	G4439	5
H1817	G0608	3
H1818	G0129	94
H1818	G1510	17
H1818	G1632	12
H1818	G2945	8
H1819	G3666	4
H1819	G3664	3
H1823	G3667	3
H1823	G3669	3
H1826	G1093	3
H1832	G3571	3
H1834	G1154	11
H1834	G3004	3
H1835	G5207	13
H1835	G3508	5
H1835	G5443	5
H1835	G1520	3
H1836	G0935	4
H1836	G2675	4
H1840	G1158	14
H1841	G1158	12
H1841	G2036	4
H1841	G0935	3
H1841	G3023	3
H1845	G5207	3
H1846	G4570	4
H1847	G1108	11
H1847	G1097	4
H1847	G3956	3
H1847	G73479	3
H1851	G4719	3
H1867	G0935	3
H1868	G0935	5
H1869	G3961	6
H1869	G5115	4
H1870	G3598	167
H1870	G4198	29
H1870	G3956	17
H1870	G2962	16
H1875	G2962	17
H1875	G1567	13
H1875	G2212	8
H1875	G2316	6
H1877	G1093	3
H1892	G3153	18
H1892	G1510	7
H1892	G3152	6
H1892	G4151	6
H1893	G0006	4
H1897	G3191	4
H1904	G0028	5
H1908	G0599	3
H1909	G2983	3
H1909	G1411	3
H1926	G1391	4
H1931	G1510	232
H1931	G2250	132
