# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Judah		1038011	1038011	Normal	thinking	
person who informed Tamar, daughter-in-law of Judah		1038013	1038013	Normal		
Judah		1038016	1038016	Normal		
Tamar, daughter-in-law of Judah		1038016	1038016	Normal		
Judah		1038017	1038017	Normal		
Tamar, daughter-in-law of Judah		1038017	1038017	Normal		
Judah		1038018	1038018	Normal		
Tamar, daughter-in-law of Judah		1038018	1038018	Normal		
Hirah, the Adullamite		1038021	1038021	Normal		
men of Enaim		1038021	1038021	Normal		
Hirah, the Adullamite		1038022	1038022	Normal		
Judah		1038023	1038023	Normal		
Judah		1038024	1038024	Normal		
person who informed Judah		1038024	1038024	Normal		
Tamar, daughter-in-law of Judah		1038025	1038025	Normal		
Judah		1038026	1038026	Normal		
midwife of Tamar, daughter-in-law of Judah		1038028	1038029	Normal		
Potiphar's wife		1039007	1039007	Normal		
Joseph		1039008	1039009	Normal		
Potiphar's wife		1039012	1039012	Normal		
Potiphar's wife		1039014	1039015	Normal		
Potiphar's wife		1039017	1039019	Normal		
Joseph		1040007	1040007	Normal		
Joseph		1040008	1040008	Normal		
chief baker of Egypt		1040008	1040008	Normal		
chief cupbearer of Egypt		1040009	1040011	Normal		
Joseph		1040012	1040015	Normal		
chief baker of Egypt		1040016	1040017	Normal		
Joseph		1040018	1040019	Normal		
chief cupbearer of Egypt		1041009	1041013	Normal		
Pharaoh (2nd)		1041015	1041015	Normal		
Joseph		1041016	1041016	Normal		
Pharaoh (2nd)		1041017	1041024	Normal		
Joseph		1041025	1041036	Normal		
Pharaoh (2nd)		1041038	1041041	Normal		
Pharaoh (2nd)'s men		1041043	1041043	Normal		
Pharaoh (2nd)		1041044	1041044	Normal		
Joseph		1041051	1041052	Normal		
Pharaoh (2nd)		1041055	1041055	Normal		
Jacob (Israel)		1042001	1042002	Normal		
Dan		1042007	1042007	Normal		
Joseph		1042007	1042007	Normal		
Joseph		1042009	1042009	Normal		
Dan		1042010	1042011	Normal		
Joseph		1042012	1042012	Normal		
Dan		1042013	1042013	Normal		
Joseph		1042014	1042016	Normal		
Joseph		1042018	1042020	Normal		
Dan		1042021	1042021	Normal		
Reuben		1042022	1042022	Normal		
Dan		1042028	1042028	Normal	surprised	
Levi		1042028	1042028	Normal	trembling	
Dan		1042030	1042034	Normal		
Jacob (Israel)		1042036	1042036	Normal		
Reuben		1042037	1042037	Normal		
Jacob (Israel)		1042038	1042038	Normal		
Jacob (Israel)		1043002	1043002	Normal		
Judah		1043003	1043005	Normal		
Jacob (Israel)		1043006	1043006	Normal		
Dan		1043007	1043007	Normal		
Judah		1043008	1043010	Normal		
Jacob (Israel)		1043011	1043014	Normal		
Joseph		1043016	1043016	Normal		
Dan		1043018	1043018	Normal	thought	
Dan		1043020	1043022	Normal		
steward of Joseph's house		1043023	1043023	Normal		
Joseph		1043027	1043027	Normal		
Dan		1043028	1043028	Normal		
Joseph		1043029	1043029	Normal		
Joseph		1043031	1043031	Normal		
Joseph		1044001	1044002	Normal		
Joseph		1044004	1044005	Normal		
Dan		1044007	1044009	Normal		
steward of Joseph's house		1044010	1044010	Normal		
Joseph		1044015	1044015	Normal		
Judah		1044016	1044016	Normal		
Joseph		1044017	1044017	Normal		
Judah		1044018	1044034	Normal		
Joseph		1045001	1045001	Normal		
Joseph		1045003	1045013	Normal		
Pharaoh (2nd)		1045017	1045020	Normal		
Joseph		1045024	1045024	Normal		
Dan		1045026	1045026	Normal		
Jacob (Israel)		1045028	1045028	Normal		
God		1046002	1046002	Normal		Y
Jacob (Israel)		1046002	1046002	Normal		
God		1046003	1046004	Normal		Y
Jacob (Israel)		1046030	1046030	Normal		
Joseph		1046031	1047001	Normal		
Dan		1047003	1047004	Normal		
Pharaoh (2nd)		1047003	1047003	Normal		
Pharaoh (2nd)		1047005	1047006	Normal		
Pharaoh (2nd)		1047008	1047008	Normal		
Jacob (Israel)		1047009	1047009	Normal		
Egyptians, all the		1047015	1047015	Normal		
Joseph		1047016	1047016	Normal		
Egyptians, all the		1047018	1047019	Normal		
Joseph		1047023	1047024	Normal		
Egyptians, all the		1047025	1047025	Normal		
