# source=derived from resources/aligned_lex/arb.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
فَكَذَلِكَ	G2532,G3779	0.846
فَكَمَا	G5618	0.500
فَكَيْفَ	G4459,H0349	0.552
فَلا	G2532,G3361,G3756	0.376
فَلَا	G3361,H0408,H3808	0.519
فَلَمْ	G2532,G3756,H3808	0.588
فَلَنْ	G3756	0.778
فَلَوْ	G1487,G3754	0.667
فَلَيْسَ	G3756,H0369	0.558
فَلِذَلِكَ	G1352,H3651,H5921	0.536
فَلِمَاذَا	G5101,H4069,H4100	0.423
فَمَا	G5101	0.222
فَمَاذَا	G5101,H4100	0.578
فَمَنْ	G5101,H4310	0.379
فَهَذَا	G3739,G3778,H1931	0.400
فَهَكَذَا	G3779,H3541	0.524
فَوْقَ	H5921	0.418
فَوْقُ	G0509,H4605	0.701
فَٱلَّذِي	G3588,G3739,H0834	0.529
فَٱلْآنَ	H6258	0.919
فِي	G1722	0.244
فِيكُمْ	G1722	0.850
فِيكِ	G1722,H0413	0.842
فِيمَا	G4314	0.268
فِينَا	G1722	0.625
فِيهَا	G1722,H8033	0.293
فِيهِ	G1722,H8033	0.323
فِيهِمْ	G0846,G1722	0.378
فِيَّ	G1722	0.842
فِيَّ	G1722,H5921	0.643
قَطُّ	G3763,G4218,G4455	0.444
قَطُّ	G3763,G4218,G4455	0.350
قَوْمٌ	G5100	0.840
كَأَنَّهُ	G5613,G5616	0.629
كَأَنَّهُ	G5613	0.586
كَذلِكَ	G2532,G3668,G3779,G5615	0.308
كَذَلِكَ	G3779,H3651	0.424
كَلَّا	G3365,G3756,G3780,H3808	0.417
كَمَا	G2531,G5613,H0834	0.365
كَمَنْ	G5613	0.500
كَنَفْسِكَ	G5613,H3644	0.846
كَهَذَا	H2088	0.741
كَهَذِهِ	H0428,H2063,H2088	0.643
كَيْ	G2443	0.667
كَيْفَ	G4459,H0349	0.456
لأَجْلِ	G1223,G1519,G5228	0.246
لأَجْلِكُمْ	G5228	0.714
لأَجْلِنَا	G4012,G5228	0.545
لأَنَّ	G1063,G3754	0.496
لأَنَّكَ	G1063,G3754	0.652
لأَنَّكُمْ	G1063,G3754	0.535
لأَنَّنَا	G1063,G3754	0.476
لأَنَّهَا	G1063,G3754	0.579
لأَنَّهُ	G1063,G3754	0.387
لأَنَّهُمْ	G1063,G3754	0.450
لأَنِّي	G1063,G3754	0.526
لا	G3361,G3756	0.412
لَا	G3361,G3756,H0408,H3808	0.351
لَدَيْهِ	G0846,H5921	0.444
لَسْتَ	G3756,H0369,H3808	0.438
لَسْتُ	G3756	0.788
لَسْتُمْ	G3756	0.740
لَسْنَا	G3756	0.778
لَعَلَّ	H0194,H6435	0.647
لَعَلَّهُ	H0194,H6435	0.444
لَكِنِ	G0235,G1161,H0389,H7535	0.333
لَكِنَّ	G0235,G1161	0.421
لَكِنَّهُ	G0235,H3651,H3808	0.312
لَكِنْ	G0235,H0518	0.432
لَمَا	G3756,H3808	0.543
لَمَّا	G3753	0.105
لَمْ	G3756,H3808	0.469
لَنْ	G3756,H3808	0.508
لَهُمَا	G0846,H0413	0.673
لَهُمُ	G0846,H0413	0.455
لَهُمْ	G0846,H0413	0.546
لَوْ	G1437,G1487	0.591
لَيْسَ	G3756,H0369,H3808	0.461
لَيْسَتْ	G3756,H0369,H3808	0.432
لَيْسُوا	G3756,H0369,H3808	0.519
لِأَجْلِ	G5228,H5921	0.167
لِأَجْلِكُمْ	G1519,G5228	0.500
