lex,default
>PD/,"pagne de lin, éphod de lin"
>PD=/,"pagne de lin, éphod de lin"
>PDH/,revêtement
>PDN/,tente royale
>PD[,nouer autour de la taille (de quelqu'un)
>PH/,cuire
>PH[,cuire
>PJL/,tardif
>PJM/,Appaïm
>PJQ/,oued
>PJQ=/,oued
>PJX/,Afiah
>PL/,totalement noir
>PL=/,obscurité profonde
>PLH/,obscurité profonde
>PLL/,Eflal
>PN/,bon moment
>PP[,entourer
>PQH/,Aféqa
>PQ[,se contenir
>PR/,cendres
>PR=/,bande
>PRJM/,Éphraïm
>PRJWN/,palanquin
>PRTJ/,Èfratite
>PRX/,oisillons
>PS[,être fini
>PS_DMJM/,Èfès-Dammim
>PW,alors
>QDX/,pierre précieuse
>QW/,bouquetin
>R>/,Ara
>R>L/,puissant guerrier
>R>LJ/,Areéli
>R>LJ=/,Areéli
>RB/,piège
>RB</,quatre
>RB=/,repaire
>RB==/,Arab
>RBH/,sauterelle
>RBH=/,"ouverture, trou, cavité, fenêtre, écluse"
>RBH==/,grand
>RBJ/,Arbite
>RBWT/,Aroubboth
>RB[,s'embusquer
>RCT/,requête
>RD/,Ard
>RDJ/,Ardite
>RDJ=/,Ardite
>RDWN/,Ardôn
>RF[,contracter un mariage
>RG/,navette
>RGB/,Argob
>RGWN/,pourpre rouge
>RGZ/,coffret
>RG[,tisser
>RH[,grappiller
>RJ>L/,puissant guerrier
>RJ>L=/,puissant guerrier
>RJ>L==/,puissant guerrier
>RJDT>/,Aridata
>RJSJ/,Arisaï
>RJWK/,Aryok
>RK/,long
>RK=/,longueur
>RK==/,long
>RK===/,Èrek
>RKJ/,Arkite
>RK[,être long
>RM/,Aram Maaka
>RMJ/,Araméen
>RMJ=/,Araméen
>RMNJ/,Armoni
>RMWN/,palais
>RN=/,Arân
>RNBT/,lièvre
>RNN/,Arnân
>RNWN/,Arnon
>RPD/,Arpad
>RPKCD/,Arpakshad
>RRV/,Ararat
>RR[,maudire
>RTXCFT>/,Artaxerxès
>RWD=/,Arvad
>RWDJ/,Arvadite
>RWDJ=/,Arod
>RWDJ==/,Arod
>RWH/,écurie
>RWKH/,réparer
>RWMH/,Arouma
>RWN/,caisse
>RWNH/,Arawna
>RX/,chemin
>RX=/,voyager
>RXH/,caravane
>RXH=/,entretien
>RX[,voyager
>RY/,terre
>RY>/,Artsa
>RZ/,cèdre (du Liban)
>RZH/,boiserie de cèdre
>S>/,Asa
>SJP/,moisson
>SJR/,prisonnier
>SM/,grange
>SNH/,Asna
>SNT/,Asenath
>SP/,moisson
>SP==/,Asaph
>SPH/,rassemblement
>SPH=/,collecte
>SPSP/,ramassis
>SPT>/,Aspata
>SP[,se réunir
>SR[,attacher
>STR/,Esther
>SWK/,jarre d'huile d'olive
>SWN/,accident
>SWR/,lanière
>T,pioche
>T/,pioche
>T==,pioche
>TB<L/,Etbaal
>TH[,venir
>TJ/,Ittaï
>TM,Étam
>TM/,Étam
>TMWL/,pioche
>TN,pioche
>TNH,pioche
>TNH/,don
>TNJ/,Etni
>TNN/,don
>TNN=/,pioche
>TRJM/,Atarim
>VD/,ronces
>VM[,grillagé
>VR/,fermé de main droite = gaucher
>VR=/,Atér
>VWN/,(toile de) lin
>W,ou
>W>L/,Ouel
>WB/,outre (à vin)
>WB=/,outre (à vin)
>WBJL/,Obil
>WD/,tison
>WH/,désir
>WH[,avoir envie
>WJ,malheur
>WJ/,Èwi
>WJH,malheur
>WJL/,imbécile
>WJL_MRDK/,Èwil-Merodak
>WL/,bélier
>WLJ,peut-être
>WLJ/,fou
>WLJ=/,peut-être
>WLT/,"folie, sottise"
>WMR/,Omar
>WNM/,Onam
>WNN/,Onân
>WNW/,Ono
>WPJR/,Ophir
>WPJR=/,Ophir
>WPN/,roue
>WPZ/,Ouphaz
>WR/,lumière
>WRJ/,Ouri
>WRJ>L/,Ouriel
>WRJH/,Urie
>WR[,être lumineux
>WT/,enseigne
>WT[,"consentir, s'entendre"
>WYR/,trésor
>WY[,se hâter
>WZJ/,Ouzaï
>WZL/,Ouzal
>X,frère
>X/,frère
>X=/,chacal
>X==/,frère
>XBN/,Ahbân
>XCTRJ/,Ahashtari
>XCTRN/,royal
>XCWRWC/,Assuérus
>XD/,un
>XJ/,Éhi
>XJ<ZR/,Ahièzer
>XJ=/,Ahi
>XJ>M/,Ahyam
>XJCR/,Ahishar
>XJCXR/,Ahishahar
>XJH/,Ahiya
>XJHWD/,Ahihoud
>XJLWD/,Ahiloud
>XJM<Y/,Ahimaats
>XJMLK/,Ahimèlek
>XJMN/,Ahimân
>XJMWT/,Ahimoth
>XJN/,Ahyân
>XJN<M/,Ahinoam
>XJNDB/,Ahinadab
>XJQM/,Ahiqam
>XJR</,Ahira
>XJRM/,Ahiram
>XJRMJ/,Ahiramite
>XJSMK/,Ahisamak
>XJTPL/,Ahitofel
>XJVWB/,Ahitoub
>XJW/,Ahio
>XJXD/,Ahihoud
>XLB/,Ahlab
>XLJ,ah! si seulement... !
>XLMH/,améthyste (?)
>XMT>/,Ahmetha
>XR/,derrière
>XR=/,autre
>XR==/,autre
>XRJT/,au plus loin de
>XRNJT,en arrière
>XRWN/,derrière
>XRX/,Aharah
>XRXL/,Aharhel
>XR[,être retardé
>XSBJ/,Ahasbaï
>XW/,roseau
>XWD/,Éhoud
>XWH=/,explication
>XWMJ/,Ahoumaï
>XWR/,arrière
>XWT/,sœur
>XWX/,Ahoah
>XWXJ/,Ahohite
>XZ=/,Achaz
>XZH/,possession
>XZJ/,Ahzaï
>XZJH/,Ahazya
>XZM/,Ahouzzam
>XZT/,Ahouzzath
>Y<DH/,bracelet
>YB</,doigt
>YBWN/,Ezbôn
>YJL/,confins
>YJL=/,confins
>YJL==/,articulation du bras
>YL/,à côté de
>YL=/,Azel
>YL==/,prendre part à
>YLJHW/,Atsalya
>YL[,prendre part à
>YM/,Otsem
>YR/,Étsèr
>Z,à ce moment-là
>ZBJ/,Ezbaï
>ZJ,alors
>ZKRH/,portion symbolique
>ZL/,pierre d'Èzel
>ZL[,s'en aller
>ZN/,oreille
>ZN=/,affaires
>ZNJ/,Ozni
>ZNJ=/,Ozni
>ZNJH/,Azanya
>ZNWT_TBWR/,Aznoth-Tabor
>ZN[,écouter
>ZN_C>RH/,Ouzzên-Shèèra
>ZQJM/,chaînes
>ZRX/,autochtone
>ZRXJ/,Ezrahite
>ZR[,être ceinturé
>ZWB/,hysope
>ZWR/,"pagne,"
B<C>/,Baasha
B<CTRH/,Béeshtera
B<D/,accès
B<FJH/,Baaséya
B<H[,faire bouillir
B<JR/,"bétail, élevage"
B<L/,"maître, propriétaire, détenteur, mari"
B<L=/,diriger
