strong	sense	gloss	count	share
H0976	1	tested	1	1.0
H0977	1	chosen	143	0.841
H0977	2	chosen	19	0.112
H0977	4	choice	5	0.029
H0977	5	tried	2	0.012
H0979	1	youth	2	1.0
H0981	1	rashly	4	1.0
H0982	1	trust	101	0.842
H0982	3	unsuspecting	9	0.075
H0982	2	confident	7	0.058
H0982	5	trusting	2	0.017
H0983	1	safety	39	0.929
H0983	2	unsuspecting	3	0.071
H0985	1	trust	1	1.0
H0986	1	confidence	2	0.667
H0987	1	secure	1	1.0
H0988	1	cease	1	1.0
H0989	1	stop	5	1.0
H0990	1	womb	33	0.458
H0990	2	belly	18	0.25
H0990	3	womb	11	0.153
H0990	4	body	8	0.111
H0992	1	pistachio nuts	1	1.0
H0995	1	discerning	15	1.0
H0996	1	among	1	1.0
H0998	1	understanding	38	1.0
H0999	1	understanding	1	1.0
H1000	1	eggs	6	1.0
H1001	1	citadel	1	1.0
H1002	1	citadel	14	0.875
H1002	2	temple	2	0.125
H1003	1	fortresses	2	1.0
H1004	2	house	673	0.335
H1004	1	house	610	0.304
H1004	3	house	468	0.233
H1004	4	house	156	0.078
H1004	5	temple	38	0.019
H1004	6	house	24	0.012
H1004	7	inside	19	0.009
H1004	8	holders	7	0.003
H1004	9	house	4	0.002
H1004	12	house	2	0.001
H1004	13	hold	2	0.001
H1004	11	Beth	2	0.001
H1004	10	web	2	0.001
H1005	1	house	30	0.698
H1005	2	house	13	0.302
H1055	1	palace	3	1.0
H1056	1	baca	1	1.0
H1057	1	balsam trees	4	1.0
H1058	1	wept	103	1.0
H1059	1	weeping	1	1.0
H1060	1	firstborn	122	1.0
H1061	1	firstfruits	17	1.0
H1062	1	birthright	10	1.0
H1063	1	first-ripe fig	4	1.0
H1065	1	weeping	30	1.0
H1067	1	firstborn	6	1.0
H1068	1	mourning	1	1.0
H1069	1	firstborn	2	0.5
H1070	1	young camels	1	1.0
H1072	1	young camel	1	1.0
H1079	1	mind	1	1.0
H1080	1	wear out	1	1.0
H1082	1	smile	3	0.75
H1086	1	wear out	11	0.733
H1086	2	waste away	3	0.2
H1087	1	worn-out	4	0.8
H1089	1	made ~ afraid	1	1.0
H1091	1	terrors	10	1.0
H1093	1	custom	3	1.0
H1094	1	old	3	1.0
H1097	2	no more	1	0.333
H1098	1	fodder	3	1.0
H1100	1	worthless	25	0.926
H1100	2	destruction	2	0.074
H1101	1	mixed	39	0.929
H1101	2	confuse	2	0.048
H1102	1	controlled	1	1.0
H1103	1	took care of	1	1.0
H1104	1	swallowed up	42	0.857
H1104	2	confuse	6	0.122
H1105	1	devour	2	1.0
H1110	1	devastate	2	1.0
H1116	1	high places	83	0.838
H1116	2	heights	13	0.131
H1116	3	backs	3	0.03
H1117	1	bamah	1	1.0
H1121	1	son	2653	0.539
H1121	2	sons	890	0.181
H1121	3	descendants	745	0.151
H1121	5	children	183	0.037
H1121	4	son of	183	0.037
H1121	6	young	69	0.014
H1121	7	men	65	0.013
H1121	8	children	57	0.012
H1121	9	sons	23	0.005
H1121	10	son of	18	0.004
H1121	11	son of	13	0.003
H1121	12	sons	11	0.002
H1121	13	son of	9	0.002
H1121	14	youths	2	0.0
H1123	1	sons of	4	0.364
H1123	3	sons	2	0.182
H1123	2	sons	2	0.182
H1124	1	rebuild	22	1.0
H1129	1	built	285	0.762
H1129	2	rebuilt	66	0.176
H1129	3	builders	12	0.032
H1129	4	build	11	0.029
H1140	1	building	1	1.0
H1143	1	spaces between	2	1.0
H1146	1	building	6	0.857
H1147	1	building	1	1.0
H1149	1	became ~ angry	1	1.0
H1155	1	sour grapes	4	0.8
H1156	1	asked	8	0.727
H1157	1	fee	1	1.0
H1158	2	bulging out	1	0.5
H1159	1	prayer	2	1.0
H1161	1	terrors	2	1.0
H1163	1	kicked	1	0.5
H1165	1	livestock	6	1.0
H1166	1	is a ~ wife	3	0.75
H1167	1	owner	27	0.325
H1167	2	lords	22	0.265
H1167	3	master	19	0.229
H1167	4	husband	14	0.169
H1168	1	baal	1	1.0
H1169	1	officer	3	1.0
H1172	1	mistress of	4	1.0
H1197	1	burn	48	0.511
H1197	2	purge	22	0.234
H1197	3	kindle	12	0.128
H1197	4	stupid	7	0.074
H1197	5	destroyed	3	0.032
H1197	6	grazes	2	0.021
H1198	1	stupid	5	1.0
H1200	1	fire	1	1.0
H1204	1	terrify	13	0.812
H1204	2	afraid	3	0.188
H1205	1	terror	2	1.0
H1206	1	mud	1	1.0
H1207	1	marsh	3	1.0
H1208	1	fortified	24	0.96
H1210	1	grape harvest	7	1.0
H1211	1	onions	1	1.0
H1214	1	greedy	8	0.5
H1214	2	cut ~ off	5	0.312
H1214	3	finished	3	0.188
H1215	1	gain	16	0.696
H1215	2	gain	7	0.304
H1216	1	swell	2	1.0
H1217	1	dough	5	1.0
H1219	1	harvest	7	0.636
H1219	2	impossible	2	0.182
H1219	3	fortify	2	0.182
H1220	1	gold	2	1.0
H1223	1	fold	1	1.0
H1225	1	stronghold	1	1.0
H1226	1	trouble	2	0.667
H1228	1	jar	3	1.0
H1233	2	breaches	1	0.5
H1234	1	split	20	0.465
H1234	2	broke	8	0.186
H1234	3	ripped open	4	0.093
H1234	6	mauled	2	0.047
H1234	7	break forth	2	0.047
H1234	5	hatch	2	0.047
H1234	4	break out	2	0.047
H1235	1	half shekel	2	1.0
H1236	1	plain	1	1.0
H1237	1	plain	19	1.0
H1238	1	lay waste	5	0.625
H1239	1	seek	2	0.286
H1239	3	inquire	2	0.286
H1239	2	seek ~ out	2	0.286
H1240	1	searched	5	1.0
