strong	sense	gloss	count	share
G0720	1	denying	31	0.969
G0721	1	Lamb	29	1.0
G0722	1	plowing	3	1.0
G0723	1	plow	1	1.0
G0724	1	greed	2	0.667
G0725	1	something to be grasped	1	1.0
G0726	1	having been caught up	4	0.308
G0726	2	snatches	3	0.231
G0726	4	claim	2	0.154
G0726	3	snatches away	2	0.154
G0727	1	swindlers	4	0.8
G0728	1	pledge	3	1.0
G0729	1	seamless	1	1.0
G0730	1	male	9	1.0
G0731	1	inexpressible	1	1.0
G0732	1	sick	4	1.0
G0733	1	homosexuals	2	1.0
G0736	1	foresail	1	1.0
G0737	3	presently	1	0.5
G0738	1	newborn	1	1.0
G0739	1	complete	1	1.0
G0740	1	bread	72	0.75
G0740	2	loaves	24	0.25
G0741	1	will you season	2	0.667
G0743	1	an archangel	2	1.0
G0744	1	ancients	8	0.727
G0744	2	early	2	0.182
G0746	1	beginning	36	0.679
G0746	2	rulers	9	0.17
G0746	4	rule	2	0.038
G0746	3	corners	2	0.038
G0747	1	Author	3	0.75
G0748	1	high-priestly	1	1.0
G0749	1	chief priests	63	0.525
